customerID,customer_fname,customer_lname,customer_email,customer_city,customer_state,customer_country,customer_zip,market,region
29,Mary,Humphrey,XXXXXXXXX,Fort Worth,TX,EE. UU.,76133.0,LATAM,
30,Barbara,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
31,Mary,Byrd,XXXXXXXXX,Albuquerque,NM,EE. UU.,87111.0,Pacific Asia,
32,Alice,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,USCA,
33,Adam,Petersen,XXXXXXXXX,Norfolk,VA,EE. UU.,23503.0,LATAM,
34,Mary,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
35,Margaret,Wright,XXXXXXXXX,Oceanside,CA,EE. UU.,92056.0,Europe,
36,Michelle,Carey,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
37,Virginia,Conrad,XXXXXXXXX,Norfolk,VA,EE. UU.,23503.0,Europe,
38,Mary,Smith,XXXXXXXXX,Opelousas,LA,EE. UU.,70570.0,Pacific Asia,
39,Juan,Mckinney,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
40,Mary,Smith,XXXXXXXXX,Long Beach,CA,EE. UU.,90805.0,Europe,
41,Victoria,Mason,XXXXXXXXX,Brooklyn,NY,EE. UU.,11230.0,LATAM,
42,Ethan,Smith,XXXXXXXXX,Duluth,GA,EE. UU.,30096.0,LATAM,
43,Mary,Herring,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
44,Howard,Smith,XXXXXXXXX,Napa,CA,EE. UU.,94558.0,LATAM,
45,Mary,Nunez,XXXXXXXXX,Denver,CO,EE. UU.,80231.0,Pacific Asia,
46,Jennifer,Smith,XXXXXXXXX,Freeport,NY,EE. UU.,11520.0,Europe,
47,Lori,Fuller,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,USCA,
48,Mary,Cowan,XXXXXXXXX,Strongsville,OH,EE. UU.,44136.0,Europe,
49,Martha,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,USCA,
50,Mary,Kim,XXXXXXXXX,San Bernardino,CA,EE. UU.,92410.0,LATAM,
51,Jessica,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
52,Mary,Lawson,XXXXXXXXX,Chicago,IL,EE. UU.,60622.0,Europe,
53,Katherine,Smith,XXXXXXXXX,Roswell,GA,EE. UU.,30075.0,Europe,
54,Mary,Olson,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
55,Janet,Farley,XXXXXXXXX,Phoenix,AZ,EE. UU.,85029.0,Pacific Asia,
56,Mary,Kaiser,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
57,Mary,Smith,XXXXXXXXX,Baltimore,MD,EE. UU.,21229.0,USCA,
58,Michael,Edwards,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
59,Douglas,James,XXXXXXXXX,Sunnyvale,CA,EE. UU.,94086.0,Pacific Asia,
60,Mary,Gutierrez,XXXXXXXXX,Webster,NY,EE. UU.,14580.0,Europe,
61,Margaret,Summers,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,USCA,
62,Mary,Oneal,XXXXXXXXX,Brooklyn,NY,EE. UU.,11223.0,Europe,
63,Aaron,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
64,Mary,Reynolds,XXXXXXXXX,Chicago,IL,EE. UU.,60647.0,USCA,
65,Jennifer,Smith,XXXXXXXXX,Princeton,NJ,EE. UU.,8540.0,Pacific Asia,
66,Mary,Booth,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,USCA,
67,Samantha,Smith,XXXXXXXXX,Chicago,IL,EE. UU.,60619.0,Pacific Asia,
68,Mary,Oneal,XXXXXXXXX,Peoria,AZ,EE. UU.,85345.0,Europe,
69,Megan,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,USCA,
70,Mary,Simmons,XXXXXXXXX,Los Angeles,CA,EE. UU.,90042.0,Pacific Asia,
71,Charles,Smith,XXXXXXXXX,Philadelphia,PA,EE. UU.,19145.0,Pacific Asia,
72,Frank,Gillespie,XXXXXXXXX,Vista,CA,EE. UU.,92084.0,Europe,
73,Mary,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
74,Alice,Rush,XXXXXXXXX,Jacksonville,NC,EE. UU.,28540.0,Africa,
75,Mary,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
76,Joseph,Young,XXXXXXXXX,Los Angeles,CA,EE. UU.,90016.0,LATAM,
77,Shirley,Dalton,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,USCA,
78,Jeremy,Smith,XXXXXXXXX,Parkville,MD,EE. UU.,21234.0,USCA,
79,Mary,Watkins,XXXXXXXXX,Knoxville,TN,EE. UU.,37922.0,Pacific Asia,
80,Joe,Parsons,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
81,Mary,Smith,XXXXXXXXX,Ithaca,NY,EE. UU.,14850.0,Africa,
82,Jonathan,Cook,XXXXXXXXX,San Antonio,TX,EE. UU.,78240.0,LATAM,
83,Mary,Wong,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,USCA,
84,Douglas,Smith,XXXXXXXXX,Tampa,FL,EE. UU.,33624.0,Europe,
85,Mary,Perez,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Africa,
86,John,Smith,XXXXXXXXX,Fort Worth,TX,EE. UU.,76106.0,USCA,
87,Gloria,Brown,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
88,Mary,Henry,XXXXXXXXX,Atlanta,GA,EE. UU.,30318.0,Pacific Asia,
89,Sean,Smith,XXXXXXXXX,Escondido,CA,EE. UU.,92027.0,USCA,
90,Mary,Hurley,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
91,Ashley,Smith,XXXXXXXXX,Spring,TX,EE. UU.,77379.0,USCA,
92,Alexander,Medina,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
93,Mary,Robbins,XXXXXXXXX,Annapolis,MD,EE. UU.,21401.0,Europe,
94,Mary,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
95,Susan,Williams,XXXXXXXXX,Hyattsville,MD,EE. UU.,20783.0,Pacific Asia,
96,Virginia,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
97,Mary,Rhodes,XXXXXXXXX,Phoenix,AZ,EE. UU.,85008.0,USCA,
98,William,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,USCA,
99,Betty,Munoz,XXXXXXXXX,Las Vegas,NV,EE. UU.,89123.0,USCA,
100,George,Barrett,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
101,Mary,Briggs,XXXXXXXXX,Dorchester Center,MA,EE. UU.,2124.0,USCA,
102,Gregory,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
103,Mary,Williams,XXXXXXXXX,Broomfield,CO,EE. UU.,80020.0,Pacific Asia,
104,Debra,Wood,XXXXXXXXX,Saint Paul,MN,EE. UU.,55112.0,LATAM,
105,Mary,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
106,Lauren,Freeman,XXXXXXXXX,Napa,CA,EE. UU.,94558.0,Pacific Asia,
107,Mary,Weaver,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,USCA,
108,Joshua,Smith,XXXXXXXXX,Bronx,NY,EE. UU.,10462.0,LATAM,
109,Mary,Thompson,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
110,David,Miranda,XXXXXXXXX,Beaverton,OR,EE. UU.,97006.0,LATAM,
111,Frank,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,USCA,
112,Mary,Daniels,XXXXXXXXX,Middletown,OH,EE. UU.,45044.0,LATAM,
113,Patricia,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
114,Alice,Warner,XXXXXXXXX,Bellflower,CA,EE. UU.,90706.0,USCA,
115,Mary,Smith,XXXXXXXXX,West Covina,CA,EE. UU.,91790.0,LATAM,
116,John,Hill,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
117,Mary,Smith,XXXXXXXXX,La Crosse,WI,EE. UU.,54601.0,Pacific Asia,
118,Katherine,Olson,XXXXXXXXX,Ogden,UT,EE. UU.,84404.0,LATAM,
119,Mary,Rosario,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
120,Nancy,Smith,XXXXXXXXX,Bronx,NY,EE. UU.,10461.0,USCA,
121,Mary,Yoder,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
122,Karen,Smith,XXXXXXXXX,Cincinnati,OH,EE. UU.,45238.0,USCA,
123,Mary,Mann,XXXXXXXXX,Bend,OR,EE. UU.,97701.0,LATAM,
124,Judy,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,USCA,
125,Mary,Gallagher,XXXXXXXXX,Oxnard,CA,EE. UU.,93030.0,Africa,
126,Austin,Smith,XXXXXXXXX,Amarillo,TX,EE. UU.,79109.0,LATAM,
127,Mary,Martin,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
128,Rose,Lopez,XXXXXXXXX,Augusta,GA,EE. UU.,30906.0,USCA,
129,Crystal,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
130,Mary,Holland,XXXXXXXXX,Aurora,IL,EE. UU.,60504.0,LATAM,
131,Brenda,Cline,XXXXXXXXX,Methuen,MA,EE. UU.,1844.0,Africa,
132,Eric,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
133,Mary,Lopez,XXXXXXXXX,Brooklyn,NY,EE. UU.,11219.0,Europe,
134,Donna,Gomez,XXXXXXXXX,Brooklyn,NY,EE. UU.,11224.0,Europe,
135,Mary,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,USCA,
136,Ryan,Griffin,XXXXXXXXX,Lynn,MA,EE. UU.,1902.0,LATAM,
137,Jonathan,Perkins,XXXXXXXXX,Broken Arrow,OK,EE. UU.,74012.0,Europe,
138,Mary,Dawson,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
139,Daniel,Maxwell,XXXXXXXXX,San Diego,CA,EE. UU.,92104.0,LATAM,
140,Amanda,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
141,Mary,Mcmahon,XXXXXXXXX,Brooklyn,NY,EE. UU.,11203.0,LATAM,
142,Heather,Smith,XXXXXXXXX,Opa Locka,FL,EE. UU.,33055.0,LATAM,
143,Mary,Byrd,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
144,David,Smith,XXXXXXXXX,Bronx,NY,EE. UU.,10462.0,Africa,
145,Joan,Walters,XXXXXXXXX,Dayton,OH,EE. UU.,45424.0,USCA,
146,Amber,Mercado,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
147,Mary,Smith,XXXXXXXXX,Hanover,PA,EE. UU.,17331.0,Pacific Asia,
148,Stephanie,Richards,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
149,Shirley,Mcclain,XXXXXXXXX,Colton,CA,EE. UU.,92324.0,Pacific Asia,
150,Mary,Smith,XXXXXXXXX,Union,NJ,EE. UU.,7083.0,Pacific Asia,
151,Lisa,Shaw,XXXXXXXXX,Richmond,TX,EE. UU.,77469.0,Europe,
152,Mary,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Africa,
153,Andrew,Marshall,XXXXXXXXX,Hollywood,FL,EE. UU.,33021.0,Europe,
154,Emily,May,XXXXXXXXX,Brandon,FL,EE. UU.,33511.0,Europe,
155,Brittany,Juarez,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
156,Mary,Smith,XXXXXXXXX,Los Angeles,CA,EE. UU.,90001.0,Europe,
157,Catherine,Chan,XXXXXXXXX,Citrus Heights,CA,EE. UU.,95610.0,LATAM,
158,Mary,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
159,John,Love,XXXXXXXXX,Corona,NY,EE. UU.,11368.0,Africa,
160,Ashley,Smith,XXXXXXXXX,Brooklyn,NY,EE. UU.,11229.0,Pacific Asia,
161,Mary,Smith,XXXXXXXXX,Hialeah,FL,EE. UU.,33010.0,Europe,
162,John,Garcia,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,USCA,
163,Austin,Diaz,XXXXXXXXX,Rio Rancho,NM,EE. UU.,87124.0,Pacific Asia,
164,Mary,Carlson,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,USCA,
165,Joseph,Ewing,XXXXXXXXX,Antioch,CA,EE. UU.,94509.0,USCA,
166,Steven,Smith,XXXXXXXXX,Florissant,MO,EE. UU.,63031.0,LATAM,
167,Stephanie,Rodriguez,XXXXXXXXX,Columbus,OH,EE. UU.,43228.0,Pacific Asia,
168,Eric,Morris,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
169,Debra,Mccarthy,XXXXXXXXX,Bronx,NY,EE. UU.,10466.0,Europe,
170,Mary,Smith,XXXXXXXXX,Broomfield,CO,EE. UU.,80020.0,Europe,
171,Evelyn,Potter,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,USCA,
172,Lauren,Rush,XXXXXXXXX,Chino,CA,EE. UU.,91710.0,Europe,
173,Jose,Smith,XXXXXXXXX,Lombard,IL,EE. UU.,60148.0,Europe,
174,Mary,Perez,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
175,Ronald,Guzman,XXXXXXXXX,Los Angeles,CA,EE. UU.,90042.0,Pacific Asia,
176,Amy,Smith,XXXXXXXXX,Dundalk,MD,EE. UU.,21222.0,USCA,
177,Mary,Melendez,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
179,Mary,Rodgers,XXXXXXXXX,Los Angeles,CA,EE. UU.,90033.0,LATAM,
180,Juan,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
181,Mary,Jones,XXXXXXXXX,Irwin,PA,EE. UU.,15642.0,Europe,
182,James,Ortiz,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
183,Wayne,Smith,XXXXXXXXX,Hayward,CA,EE. UU.,94541.0,Europe,
184,Mary,Boyd,XXXXXXXXX,Lindenhurst,NY,EE. UU.,11757.0,Africa,
185,Deborah,Smith,XXXXXXXXX,Louisville,KY,EE. UU.,40214.0,Africa,
186,Diane,Jones,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,USCA,
187,Mildred,Herrera,XXXXXXXXX,Antioch,CA,EE. UU.,94509.0,Pacific Asia,
188,Mary,Smith,XXXXXXXXX,Los Angeles,CA,EE. UU.,90019.0,Europe,
189,Angela,Peterson,XXXXXXXXX,San Marcos,TX,EE. UU.,78666.0,LATAM,
190,Mary,Hayes,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
191,Victoria,Smith,XXXXXXXXX,Portland,OR,EE. UU.,97206.0,Europe,
192,Mary,Hall,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
193,Melissa,Flores,XXXXXXXXX,Gaithersburg,MD,EE. UU.,20878.0,Africa,
194,Mary,Bates,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
195,Richard,Smith,XXXXXXXXX,Modesto,CA,EE. UU.,95350.0,Pacific Asia,
196,Thomas,Watson,XXXXXXXXX,Dearborn,MI,EE. UU.,48126.0,LATAM,
197,Ruth,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
198,Mary,Joseph,XXXXXXXXX,Lancaster,PA,EE. UU.,17601.0,Africa,
199,Cynthia,Horn,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
200,Keith,Smith,XXXXXXXXX,Lynn,MA,EE. UU.,1902.0,Europe,
201,Mary,Grimes,XXXXXXXXX,Jacksonville,FL,EE. UU.,32244.0,LATAM,
202,Sharon,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
203,Madison,Blankenship,XXXXXXXXX,Phoenix,AZ,EE. UU.,85033.0,Europe,
204,Mary,Smith,XXXXXXXXX,Las Vegas,NV,EE. UU.,89123.0,Europe,
205,Ryan,Garcia,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
206,Mary,West,XXXXXXXXX,Pompano Beach,FL,EE. UU.,33068.0,Pacific Asia,
207,Jose,Powers,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
208,Mary,Smith,XXXXXXXXX,Bayamon,PR,Puerto Rico,957.0,USCA,
209,Thomas,Moore,XXXXXXXXX,Fort Worth,TX,EE. UU.,76133.0,Europe,
210,Jonathan,Burns,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,USCA,
211,Mary,Smith,XXXXXXXXX,Lawrenceville,GA,EE. UU.,30043.0,Africa,
212,Roger,Johnson,XXXXXXXXX,South Ozone Park,NY,EE. UU.,11420.0,USCA,
213,Mary,Mclaughlin,XXXXXXXXX,Enfield,CT,EE. UU.,6082.0,USCA,
214,Lauren,Booth,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
215,Mary,Smith,XXXXXXXXX,Flushing,NY,EE. UU.,11354.0,LATAM,
216,Martha,Davis,XXXXXXXXX,Visalia,CA,EE. UU.,93277.0,LATAM,
217,Mary,Hughes,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
218,Charles,Tyler,XXXXXXXXX,La Puente,CA,EE. UU.,91744.0,Africa,
220,Janet,Smith,XXXXXXXXX,Salinas,CA,EE. UU.,93906.0,LATAM,
221,Mary,Cox,XXXXXXXXX,Columbus,OH,EE. UU.,43230.0,LATAM,
222,Frank,Ruiz,XXXXXXXXX,Carol Stream,IL,EE. UU.,60188.0,Pacific Asia,
223,Ralph,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Africa,
224,Mary,Hernandez,XXXXXXXXX,Wheeling,WV,EE. UU.,26003.0,Pacific Asia,
225,Megan,Watson,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
226,Rose,Sanders,XXXXXXXXX,Oxnard,CA,EE. UU.,93030.0,LATAM,
227,Mary,Smith,XXXXXXXXX,Tempe,AZ,EE. UU.,85283.0,LATAM,
228,Jessica,Clark,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,USCA,
229,Mary,Garrett,XXXXXXXXX,Jacksonville,FL,EE. UU.,32225.0,Europe,
230,Kimberly,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
231,Mary,Conner,XXXXXXXXX,Wyoming,MI,EE. UU.,49509.0,LATAM,
232,Gloria,Bean,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
233,Hannah,Smith,XXXXXXXXX,Glendale,AZ,EE. UU.,85301.0,Pacific Asia,
234,Mary,Giles,XXXXXXXXX,Miami,FL,EE. UU.,33157.0,Pacific Asia,
235,David,Smith,XXXXXXXXX,Piscataway,NJ,EE. UU.,8854.0,Europe,
236,Ashley,Clark,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
237,Mary,Smith,XXXXXXXXX,San Jose,CA,EE. UU.,95148.0,Pacific Asia,
238,Charles,Turner,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
239,Mary,Simpson,XXXXXXXXX,Mcallen,TX,EE. UU.,78501.0,USCA,
240,David,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
241,Janet,Carter,XXXXXXXXX,Hamilton,OH,EE. UU.,45013.0,Pacific Asia,
242,Mary,Stein,XXXXXXXXX,Mililani,HI,EE. UU.,96789.0,LATAM,
243,Deborah,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
244,Mary,Hutchinson,XXXXXXXXX,Long Beach,CA,EE. UU.,90805.0,Europe,
245,Deborah,Smith,XXXXXXXXX,Yonkers,NY,EE. UU.,10701.0,Europe,
246,Mary,Wood,XXXXXXXXX,Oak Lawn,IL,EE. UU.,60453.0,Pacific Asia,
247,Angela,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
248,Christina,Walsh,XXXXXXXXX,Houston,TX,EE. UU.,77083.0,USCA,
249,Mary,Randolph,XXXXXXXXX,Portland,OR,EE. UU.,97206.0,USCA,
250,Julie,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
251,Kelly,Adams,XXXXXXXXX,Saint Paul,MN,EE. UU.,55112.0,Pacific Asia,
252,Mary,Frazier,XXXXXXXXX,Richardson,TX,EE. UU.,75080.0,Pacific Asia,
253,Nancy,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Africa,
254,Diana,Hale,XXXXXXXXX,San Antonio,TX,EE. UU.,78223.0,LATAM,
255,Mary,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
256,David,Rodriguez,XXXXXXXXX,Chicago,IL,EE. UU.,60625.0,LATAM,
257,Mary,Harrison,XXXXXXXXX,Humacao,PR,Puerto Rico,791.0,Europe,
258,Aaron,Kennedy,XXXXXXXXX,Philadelphia,PA,EE. UU.,19131.0,LATAM,
259,Mary,Bates,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
260,Kenneth,Smith,XXXXXXXXX,North Hollywood,CA,EE. UU.,91605.0,Pacific Asia,
261,Mary,Parker,XXXXXXXXX,Cerritos,CA,EE. UU.,90703.0,USCA,
262,Mary,Morgan,XXXXXXXXX,Chicago,IL,EE. UU.,60621.0,USCA,
263,Margaret,Bradley,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
264,Mary,Smith,XXXXXXXXX,Goleta,CA,EE. UU.,93117.0,USCA,
265,Michelle,Solis,XXXXXXXXX,Dubuque,IA,EE. UU.,52001.0,Europe,
266,Mary,Knapp,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
267,Richard,Smith,XXXXXXXXX,Columbus,OH,EE. UU.,43229.0,LATAM,
268,Mary,Miller,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
269,Jeffrey,Simon,XXXXXXXXX,Chicago,IL,EE. UU.,60609.0,LATAM,
270,Janet,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
271,Justin,White,XXXXXXXXX,Fremont,CA,EE. UU.,94538.0,Pacific Asia,
272,Mary,Long,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
273,Benjamin,Smith,XXXXXXXXX,Jamaica,NY,EE. UU.,11435.0,USCA,
274,Mary,Moyer,XXXXXXXXX,San Antonio,TX,EE. UU.,78240.0,Europe,
275,Robert,Smith,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
276,Christina,Wright,XXXXXXXXX,West Covina,CA,EE. UU.,91790.0,LATAM,
277,Roger,Hunt,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
278,Mary,Graves,XXXXXXXXX,Brooklyn,NY,EE. UU.,11214.0,LATAM,
279,Anna,Smith,XXXXXXXXX,Bayamon,PR,Puerto Rico,957.0,LATAM,
280,Mary,Ortiz,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
281,Stephanie,Smith,XXXXXXXXX,Juana Diaz,PR,Puerto Rico,795.0,Europe,
282,Zachary,Pugh,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
283,Mary,Smith,XXXXXXXXX,Wilmington,CA,EE. UU.,90744.0,LATAM,
284,John,Harrington,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
285,Shirley,Smith,XXXXXXXXX,Lancaster,CA,EE. UU.,93535.0,Africa,
286,Mary,Baker,XXXXXXXXX,Santa Cruz,CA,EE. UU.,95060.0,Europe,
287,Andrew,Salazar,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Pacific Asia,
288,Judith,Smith,XXXXXXXXX,San Juan,PR,Puerto Rico,921.0,USCA,
289,Diana,Richards,XXXXXXXXX,Morristown,NJ,EE. UU.,7960.0,Pacific Asia,
290,Mary,Garza,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,Europe,
291,John,Smith,XXXXXXXXX,Bristol,CT,EE. UU.,6010.0,Pacific Asia,
292,Mary,Estrada,XXXXXXXXX,Columbus,OH,EE. UU.,43207.0,LATAM,
293,Christopher,Prince,XXXXXXXXX,Caguas,PR,Puerto Rico,725.0,LATAM,
294,Mary,Smith,XXXXXXXXX,Newark,DE,EE. UU.,19711.0,LATAM,
